Project,FeatureID,Feature,Support,Notes
MeshMind,data_model_graph,"Graph-native data model (nodes/edges, triplets)",Yes,Triplets + entity registry; CRUD on nodes/edges.
MeshMind,temporal_bitemporal,Temporal knowledge graph (bi-temporal / valid_from/valid_to + tx time),No,Timestamps/TTL only; bi-temporal proposed.
MeshMind,scoping_personas,Multi-level scoping (user/agent/session/run),Partial,Namespaces + entity_labels; not user/agent/run.
MeshMind,extraction_llm,LLM-based extraction on ingest,Yes,extract→dedupe→score→compress→store.
MeshMind,consolidation_planner,Consolidation planner (ADD/UPDATE/DELETE logic),Partial,Consolidation pipeline planned; dedupe present.
MeshMind,vector_search,Vector similarity search,Yes,Embedding retriever.
MeshMind,bm25_keyword,Keyword/BM25 retrieval,Yes,BM25 module.
MeshMind,graph_traversal,"Graph traversal retrieval (BFS, path search)",Yes,Graph traversal candidate hydration.
MeshMind,rerank_rrf_mmr,Reranking: RRF/MMR/Cross-Encoder,Partial,LLM reranker available; RRF/MMR proposed.
MeshMind,rerank_node_distance,Reranking: node-distance around focal entity,No,Not implemented.
MeshMind,summary_memory,Conversation summary memory / digesting long context,Partial,Compression/consolidation; no explicit conversation summary memory.
MeshMind,chat_store_persistence,Chat history persistence / chat store interface,Partial,Persistence via DB drivers; no chat_store API.
MeshMind,vector_backends,Pluggable vector backends (Qdrant/Chroma/Azure AI Search/etc.),Partial,Pluggable; not officially listing Qdrant/Chroma/AIS yet.
MeshMind,graph_backends,Pluggable graph backends (Neo4j/Memgraph/FalkorDB/Neptune),Yes,Neo4j/Memgraph/SQLite drivers.
MeshMind,hosted_cloud,Hosted cloud service available,No,Self-host only.
MeshMind,mcp_server,MCP server / tools interface,No,Not shipped; skeleton drafted.
MeshMind,rest_api,REST API official / self-hostable,Yes,FastAPI app/stub w/ endpoints.
MeshMind,grpc_api,gRPC API,Yes,gRPC stub types in repo.
MeshMind,sdks_multi,SDKs in multiple languages,Partial,Python client; TS stub drafted.
MeshMind,cli_tooling,CLI commands / server runner,Yes,meshmind ingest/admin.
MeshMind,auth_tenancy,"Auth & tenancy (API keys/JWT, multi-tenant)",Partial,Namespaces; API-key middleware drafted.
MeshMind,observability_otel,Observability (OpenTelemetry and metrics),Partial,Scaffolding; draft provided.
MeshMind,benchmarks_eval,Benchmarks / evaluation harness,Partial,Harness outline; not published.
MeshMind,browser_ingest,Browser/extension ingestion for memories,No,Not included.
MeshMind,multi_agent_shared,Multi-agent shared memory / crew memory,Partial,Usable with frameworks; not first-class.
MeshMind,pii_classification,PII scrubbing / dialog classification / structured extraction,No,Not built-in.
MeshMind,ttl_expiry,TTL/expiry & archival policies,Yes,TTL field supported.
Mem0,data_model_graph,"Graph-native data model (nodes/edges, triplets)",Partial,Record-centric; optional Neo4j graph in self-host.
Mem0,temporal_bitemporal,Temporal knowledge graph (bi-temporal / valid_from/valid_to + tx time),No,No bi-temporal model published.
Mem0,scoping_personas,Multi-level scoping (user/agent/session/run),Yes,user_id/agent_id/run_id in SDK & server.
Mem0,extraction_llm,LLM-based extraction on ingest,Yes,Memory.add with infer=True.
Mem0,consolidation_planner,Consolidation planner (ADD/UPDATE/DELETE logic),Yes,ADD/UPDATE/DELETE planner during ingest.
Mem0,vector_search,Vector similarity search,Yes,Vector search; pluggable.
Mem0,bm25_keyword,Keyword/BM25 retrieval,Partial,Backend-dependent.
Mem0,graph_traversal,"Graph traversal retrieval (BFS, path search)",Partial,If Neo4j enabled.
Mem0,rerank_rrf_mmr,Reranking: RRF/MMR/Cross-Encoder,Partial,Primarily top-k; rerank not prominent.
Mem0,rerank_node_distance,Reranking: node-distance around focal entity,No,Not documented.
Mem0,summary_memory,Conversation summary memory / digesting long context,Partial,Summaries present in examples; not a dedicated module.
Mem0,chat_store_persistence,Chat history persistence / chat store interface,Yes,Cloud & server maintain histories.
Mem0,vector_backends,Pluggable vector backends (Qdrant/Chroma/Azure AI Search/etc.),Yes,Chroma/Qdrant/Azure AI Search supported in guides.
Mem0,graph_backends,Pluggable graph backends (Neo4j/Memgraph/FalkorDB/Neptune),Partial,Neo4j optional.
Mem0,hosted_cloud,Hosted cloud service available,Yes,api.mem0.ai.
Mem0,mcp_server,MCP server / tools interface,Yes,OpenMemory MCP repo/examples.
Mem0,rest_api,REST API official / self-hostable,Yes,FastAPI server with OpenAPI /docs.
Mem0,grpc_api,gRPC API,No,Not documented.
Mem0,sdks_multi,SDKs in multiple languages,Yes,Python + TypeScript clients.
Mem0,cli_tooling,CLI commands / server runner,Partial,Server run scripts; no general CLI.
Mem0,auth_tenancy,"Auth & tenancy (API keys/JWT, multi-tenant)",Partial,Cloud keys; OSS auth evolving.
Mem0,observability_otel,Observability (OpenTelemetry and metrics),No,Not documented in OSS.
Mem0,benchmarks_eval,Benchmarks / evaluation harness,Partial,Blog posts/demos; not formal OSS harness.
Mem0,browser_ingest,Browser/extension ingestion for memories,Partial,Examples; no official extension.
